               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.085076,            0.037816,           0.0047002,             0.33719,             0.26908,             0.21319,            0.056217,             0.08551,            0.038455,            0.016133,           0.0082675,           0.0082675,           0.0082675
                  37,             0.08606,            0.040274,           0.0045774,             0.37665,             0.30121,             0.24656,            0.072238,            0.083364,            0.037158,            0.011316,            0.008218,            0.008218,            0.008218
                  38,            0.083939,            0.040942,           0.0043071,             0.36811,             0.31859,             0.25994,            0.077163,            0.082534,            0.038333,            0.014529,           0.0081685,           0.0081685,           0.0081685
                  39,            0.085191,            0.039734,           0.0052788,             0.37225,             0.32591,             0.25016,            0.069682,            0.082593,            0.040633,           0.0096239,            0.008119,            0.008119,            0.008119
                  40,            0.083731,            0.037696,           0.0039565,              0.3762,             0.28178,             0.23734,            0.067468,            0.083869,            0.038208,           0.0055118,           0.0080695,           0.0080695,           0.0080695
                  41,            0.085271,            0.042638,           0.0039778,             0.33661,             0.30703,             0.21918,             0.06206,            0.085119,            0.038198,           0.0045301,             0.00802,             0.00802,             0.00802
                  42,             0.08306,            0.039201,            0.004746,              0.3752,             0.33027,             0.25822,            0.068583,            0.084293,            0.036883,           0.0030956,           0.0079705,           0.0079705,           0.0079705
                  43,            0.084071,            0.038344,           0.0040744,              0.3666,             0.32257,             0.23931,            0.066189,            0.084932,            0.039689,           0.0047954,            0.007921,            0.007921,            0.007921
                  44,            0.084365,            0.036881,            0.004334,             0.38733,             0.27824,             0.24533,            0.076248,            0.084649,            0.038449,           0.0060833,           0.0078715,           0.0078715,           0.0078715
                  45,            0.082737,            0.037215,           0.0040727,             0.28585,             0.24384,             0.18658,            0.051475,            0.085236,            0.039142,            0.014611,            0.007822,            0.007822,            0.007822
                  46,            0.083751,            0.039132,           0.0038457,             0.36595,             0.32596,             0.22896,            0.062227,            0.082885,            0.039895,             0.01016,           0.0077725,           0.0077725,           0.0077725
                  47,            0.083955,            0.039367,            0.004309,             0.37726,             0.27591,             0.24987,              0.0722,            0.081918,            0.038231,           0.0076286,            0.007723,            0.007723,            0.007723
                  48,            0.082382,             0.03868,           0.0041389,             0.43016,             0.28947,             0.28029,            0.081855,            0.083505,             0.03868,           0.0080462,           0.0076735,           0.0076735,           0.0076735
                  49,            0.081849,            0.039068,           0.0039895,             0.35221,             0.29547,             0.24802,            0.070991,            0.084096,            0.038113,            0.020093,            0.007624,            0.007624,            0.007624
                  50,            0.084152,            0.036224,           0.0060952,             0.40421,             0.28948,             0.25838,            0.073676,            0.083075,            0.037775,            0.017131,           0.0075745,           0.0075745,           0.0075745
                  51,            0.081554,            0.038067,           0.0053782,              0.3544,             0.32718,             0.25427,            0.068599,            0.082853,            0.039539,            0.017773,            0.007525,            0.007525,            0.007525
                  52,             0.08067,             0.03831,           0.0038264,             0.44394,             0.32359,             0.27956,            0.074207,             0.08506,            0.038078,            0.011603,           0.0074755,           0.0074755,           0.0074755
                  53,            0.082227,            0.036734,           0.0037838,             0.41121,             0.30206,             0.26903,            0.072719,            0.085375,            0.038062,            0.016634,            0.007426,            0.007426,            0.007426
                  54,            0.082703,            0.037851,           0.0044669,             0.33971,             0.31154,             0.24033,             0.06706,            0.083821,            0.039079,            0.016631,           0.0073765,           0.0073765,           0.0073765
                  55,            0.080315,            0.039117,           0.0032907,             0.38015,             0.33725,              0.2706,            0.077703,            0.081127,            0.037604,            0.012003,            0.007327,            0.007327,            0.007327
                  56,             0.07986,            0.037395,           0.0027059,              0.4429,             0.29221,             0.27605,            0.080175,            0.082146,            0.038924,            0.011999,           0.0072775,           0.0072775,           0.0072775
